From src:'1'	To src:'2'
CHEMBL2104054	DB01615
CHEMBL2105167	DB13822
CHEMBL180101	DB12395
CHEMBL2110895	DB13815
CHEMBL1614644	DB13782
CHEMBL55	DB00738
CHEMBL611	DB01162
CHEMBL1303	DB05271
CHEMBL14762	DB06195
CHEMBL401150	DB03186
CHEMBL386630	DB00624
CHEMBL259898	DB05804
CHEMBL85799	DB02854
CHEMBL92608	DB08482
CHEMBL1123	DB00804
CHEMBL3910904	DB17816
CHEMBL273862	DB12385
CHEMBL1090771	DB11893
CHEMBL369180	DB04154
CHEMBL417990	DB11562
CHEMBL5314576	DB19058
CHEMBL197194	DB15446
CHEMBL3707234	DB13531
CHEMBL2104753	DB09200
CHEMBL3590674	DB15055
CHEMBL567204	DB08457
CHEMBL293034	DB08213
CHEMBL519374	DB04342
CHEMBL458975	DB08739
CHEMBL125381	DB03181
CHEMBL253969	DB12962
CHEMBL463763	DB12025
CHEMBL1491	DB00381
CHEMBL4297337	DB15324
CHEMBL52247	DB09191
CHEMBL2008544	DB11517
CHEMBL1084430	DB15062
CHEMBL363295	DB13725
CHEMBL253371	DB01616
CHEMBL2104578	DB15565
CHEMBL2104783	DB13861
CHEMBL1210221	DB08435
CHEMBL1851943	DB05223
CHEMBL4297492	DB16076
CHEMBL3544564	DB01479
CHEMBL3989954	DB13012
CHEMBL1946170	DB08896
CHEMBL1213083	DB06831
CHEMBL406652	DB08709
CHEMBL5314431	DB18765
CHEMBL3544964	DB15281
CHEMBL2107729	DB12805
CHEMBL316053	DB07261
CHEMBL2069694	DB17874
CHEMBL5398726	DB12428
CHEMBL479079	DB08519
CHEMBL253896	DB15359
CHEMBL497001	DB15477
CHEMBL2103863	DB12565
CHEMBL459505	DB13083
CHEMBL422	DB00831
CHEMBL1868702	DB11619
CHEMBL2221212	DB18409
CHEMBL172155	DB09182
CHEMBL15245	DB01392
CHEMBL1165342	DB13374
CHEMBL1213583	DB06730
CHEMBL1583	DB01602
CHEMBL1738972	DB18588
CHEMBL2110773	DB09271
CHEMBL550936	DB12283
CHEMBL103	DB00396
CHEMBL2311120	DB18000
CHEMBL1641	DB14542
CHEMBL3185133	DB01431
CHEMBL1201354	DB00505
CHEMBL2104608	DB13828
CHEMBL175691	DB08864
CHEMBL4297311	DB14802
CHEMBL65553	DB03771
CHEMBL3301625	DB11764
CHEMBL3716365	DB15346
CHEMBL249837	DB00931
CHEMBL3304244	DB16048
CHEMBL4297605	DB13080
CHEMBL475251	DB07159
CHEMBL5095208	DB17115
CHEMBL3707395	DB05187
CHEMBL2204263	DB12632
CHEMBL6039723	DB18191
CHEMBL4077071	DB17383
CHEMBL2106763	DB08970
CHEMBL574003	DB07917
CHEMBL1229214	DB13254
CHEMBL4594297	DB16143
CHEMBL1259059	DB08934
CHEMBL1579	DB01384
CHEMBL1742461	DB12770
CHEMBL2443262	DB14881
CHEMBL498672	DB19261
CHEMBL400841	DB07135
CHEMBL404116	DB02621
CHEMBL1236446	DB01991
CHEMBL2104786	DB11190
CHEMBL177	DB00479
CHEMBL3286797	DB12024
CHEMBL219586	DB07215
CHEMBL4297448	DB12899
CHEMBL111575	DB07076
CHEMBL3622533	DB11891
CHEMBL205437	DB08239
CHEMBL3359265	DB12096
CHEMBL3187503	DB12627
CHEMBL185097	DB01858
CHEMBL189568	DB18038
CHEMBL2103872	DB09050
CHEMBL1152	DB15566
CHEMBL2110609	DB13565
CHEMBL1173462	DB03500
CHEMBL3753858	DB15308
CHEMBL560377	DB08386
CHEMBL4802152	DB17163
CHEMBL297792	DB12149
CHEMBL559401	DB08349
CHEMBL493986	DB07514
CHEMBL2107822	DB12158
CHEMBL1201147	DB09535
CHEMBL1095777	DB05039
CHEMBL189963	DB09073
CHEMBL562668	DB11745
CHEMBL4650331	DB19129
CHEMBL282575	DB13953
CHEMBL3039530	DB12100
CHEMBL4649457	DB19053
CHEMBL2111101	DB05316
CHEMBL977	DB14545
