Purple Book Monthly Historical Data Changes Report - June 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newly Approved Products (N)  / Products Added in Current Release (R) / Updated Products (U),,,,,,,,,,,,,,,,,,,,,,,,,,,
N/R/U,Applicant,BLA Number,Proprietary Name,Proper Name,License Type,Strength,Dosage Form,Route of Administration,Product Presentation,Marketing Status,Licensure,Approval Date,Inter. Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,Inter. Supplement Number,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date,Patent List Provided
,Grifols Biologicals LLC,102478,Albutein,Albumin (Human),351(a),12.5G/50ML,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,15-Aug-78,, ,,0,Original,,1694,005,CBER,,,,,,
,Grifols Biologicals LLC,102478,Albutein,Albumin (Human),351(a),5G/20ML,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,15-Aug-78,, ,,0,Original,,1694,006,CBER,,,,,,
,Grifols Biologicals LLC,102478,Albutein,Albumin (Human),351(a),12.5ML/250ML,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,15-Aug-78,, ,,0,Original,,1694,007,CBER,,,,,,
,Grifols Biologicals LLC,102478,Albutein,Albumin (Human),351(a),25G/500ML,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,15-Aug-78,, ,,0,Original,,1694,008,CBER,,,,,,
,Grifols Biologicals LLC,102478,Albutein,Albumin (Human),351(a),5G/100ML,Injection,Intravenous,Bag,Disc,Licensed,29-Nov-22,, ,,5570,Supplement,,1694,009,CBER,,,,,,
,Merck Teknika LLC,102821,Tice Bcg,BCG Live,351(a),100-800 MIL CFU,For Injection,Intravesical,Single-Dose Vial,Rx,Licensed,21-Jun-89,, ,,0,Original,,1747,001,CBER,,,,,,
,"GenTrac, Inc.",102865,"Thrombin-Jmi, Thrombocoll","Thrombin, Topical (Bovine)",351(a),"20,000IU",Powder,Topical,Vial,Rx,Licensed,3-Feb-86,, ,,0,Original,,0977,001,CBER,,,,,,
,"GenTrac, Inc.",102865,"Thrombin-Jmi, Thrombocoll","Thrombin, Topical (Bovine)",351(a),"5,000IU",Powder,Topical,Vial,Rx,Licensed,10-Feb-11,, ,,5387,Supplement,,0977,002,CBER,,,,,,
,"GenTrac, Inc.",102865,"Thrombin-Jmi, Thrombocoll","Thrombin, Topical (Bovine)",351(a),"20,000IU",Solution,Topical,Single-Dose Vial,Rx,Licensed,10-Apr-26,, ,,5944,Supplement,,0977,003,CBER,,,,,,
,"GenTrac, Inc.",102865,"Thrombin-Jmi, Thrombocoll","Thrombin, Topical (Bovine)",351(a),"5,000IU",Solution,Topical,Single-Dose Vial,Rx,Licensed,10-Apr-26,, ,,5944,Supplement,,0977,004,CBER,,,,,,
,Merck Teknika LLC,103050,N/A,BCG Vaccine,351(a),100-800 MIL CFU,For Injection,Percutaneous,Single-Dose Vial,Rx,Licensed,21-Jun-89,, ,,0,Original,,1747,001,CBER,,,,,,
,"ALK-Abello, Inc.",103051,N/A,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-58,, ,,0,Original,,1256,001,CBER,,,,,,
,"ALK-Abello, Inc.",103051,N/A,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",351(a),"10,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-58,, ,,0,Original,,1256,002,CBER,,,,,,
,"ALK-Abello, Inc.",103052,N/A,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"10,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,001,CBER,,,,,,
,"ALK-Abello, Inc.",103052,N/A,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,002,CBER,,,,,,
,"ALK-Abello, Inc.",103052,N/A,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"100,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,003,CBER,,,,,,
,"ALK-Abello, Inc.",103052,N/A,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,004,CBER,,,,,,
,"ALK-Abello, Inc.",103053,N/A,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"10,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,001,CBER,,,,,,
,"ALK-Abello, Inc.",103053,N/A,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,002,CBER,,,,,,
,"ALK-Abello, Inc.",103053,N/A,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"100,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,003,CBER,,,,,,
,"ALK-Abello, Inc.",103053,N/A,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,004,CBER,,,,,,
,"ALK-Abello, Inc.",103054,N/A,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"10,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,001,CBER,,,,,,
,"ALK-Abello, Inc.",103054,N/A,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,002,CBER,,,,,,
,"ALK-Abello, Inc.",103054,N/A,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"100,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,003,CBER,,,,,,
,"ALK-Abello, Inc.",103054,N/A,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,004,CBER,,,,,,
,"ALK-Abello, Inc.",103055,N/A,"Pollens - Grasses, Redtop Agrostis alba",351(a),"10,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,001,CBER,,,,,,
,"ALK-Abello, Inc.",103055,N/A,"Pollens - Grasses, Redtop Agrostis alba",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,002,CBER,,,,,,
,"ALK-Abello, Inc.",103055,N/A,"Pollens - Grasses, Redtop Agrostis alba",351(a),"100,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,003,CBER,,,,,,
,"ALK-Abello, Inc.",103055,N/A,"Pollens - Grasses, Redtop Agrostis alba",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,004,CBER,,,,,,
,"ALK-Abello, Inc.",103056,N/A,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),"10,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,001,CBER,,,,,,
,"ALK-Abello, Inc.",103056,N/A,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,002,CBER,,,,,,
,"ALK-Abello, Inc.",103057,N/A,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",351(a),"100,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,001,CBER,,,,,,
,"ALK-Abello, Inc.",103057,N/A,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,002,CBER,,,,,,
,"ALK-Abello, Inc.",103058,N/A,"Pollens - Grasses, Timothy Phleum pratense",351(a),"10,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,001,CBER,,,,,,
,"ALK-Abello, Inc.",103058,N/A,"Pollens - Grasses, Timothy Phleum pratense",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,002,CBER,,,,,,
,"ALK-Abello, Inc.",103059,N/A,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",351(a),1:20W/V,Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,001,CBER,,,,,,
,"ALK-Abello, Inc.",103059,N/A,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",351(a),1:20W/V,Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,002,CBER,,,,,,
,"ALK-Abello, Inc.",103060,N/A,"Insects (Whole Body), Mite Dermatophagoides farinae",351(a),"10,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,001,CBER,,,,,,
,"ALK-Abello, Inc.",103060,N/A,"Insects (Whole Body), Mite Dermatophagoides farinae",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,29-Sep-50,, ,,0,Original,,1256,002,CBER,,,,,,
,"ALK-Abello, Inc.",103061,N/A,"Animal Allergens, Standardized Cat Pelt",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Rx,Voluntarily Revoked,29-Sep-50,, ,,0,Original,,1256,001,CBER,,,,,,
,"ALK-Abello, Inc.",103061,N/A,"Animal Allergens, Standardized Cat Pelt",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Voluntarily Revoked,29-Sep-50,, ,,0,Original,,1256,002,CBER,,,,,,
,Baxalta US Inc.,103112,Proplex-T; Bebulin,Factor IX Complex,351(a),200-1200U/20ML,For Injection,Intravenous,Vial,Rx,Voluntarily Revoked,21-Aug-70,, ,,0,Original,,2020,001,CBER,,,,,,
,"Allermed Laboratories, Inc.",103113,N/A,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",351(a),1:10W/V,Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,13-Mar-74,, ,,0,Original,,0467,001,CBER,,,,,,
,"Allermed Laboratories, Inc.",103113,N/A,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",351(a),1:10W/V,Injection,Intradermal,Multi-Dose Vial,Rx,Licensed,13-Mar-74,, ,,0,Original,,0467,002,CBER,,,,,,
,Bavarian Nordic A/S,103123,Vivotif,Typhoid Vaccine Live Oral Ty21a,351(a),2-6.8 BIL. CFU,Capsule,Oral,Blister Pack,Rx,Licensed,15-Dec-89,, ,,0,Original,,2096,001,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103133,"Gammagard, Gammagard S/D, Iveegam",Immune Globulin Intravenous (Human),351(a),0.5G,For Injection,Intravenous,Single-Use Bottle,Disc,Licensed,18-Feb-86,, ,,0,Original,,1898,001,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103133,"Gammagard, Gammagard S/D, Iveegam",Immune Globulin Intravenous (Human),351(a),1000MG,For Injection,Intravenous,Single-Use Bottle,Disc,Licensed,18-Feb-86,, ,,0,Original,,1898,002,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103133,"Gammagard, Gammagard S/D, Iveegam",Immune Globulin Intravenous (Human),351(a),2500MG,For Injection,Intravenous,Single-Use Bottle,Disc,Licensed,18-Feb-86,, ,,0,Original,,1898,003,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103133,"Gammagard, Gammagard S/D, Iveegam",Immune Globulin Intravenous (Human),351(a),500MG,For Injection,Intravenous,Single-Use Bottle,Disc,Licensed,18-Feb-86,, ,,0,Original,,1898,004,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103133,"Gammagard, Gammagard S/D, Iveegam",Immune Globulin Intravenous (Human),351(a),5000MG,For Injection,Intravenous,Single-Use Bottle,Disc,Licensed,18-Feb-86,, ,,0,Original,,1898,005,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103133,"Gammagard, Gammagard S/D, Iveegam",Immune Globulin Intravenous (Human),351(a),10G,For Injection,Intravenous,Single-Use Bottle,Rx,Licensed,27-Jul-00,, ,,1064,Supplement,,1898,006,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103133,"Gammagard, Gammagard S/D, Iveegam",Immune Globulin Intravenous (Human),351(a),2.5G,For Injection,Intravenous,Single-Use Bottle,Disc,Licensed,27-Jul-00,, ,,1064,Supplement,,1898,007,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103133,"Gammagard, Gammagard S/D, Iveegam",Immune Globulin Intravenous (Human),351(a),5.0G,For Injection,Intravenous,Single-Use Bottle,Rx,Licensed,27-Jul-00,, ,,1064,Supplement,,1898,008,CBER,,,,,,
,Wellcome Foundation Limited Wellcome Research Laboratories,103141,Digibind,Digoxin Immune Fab (Ovine),351(a),38MG,For Injection,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,22-Apr-86,, ,,0,Original,,0129,001,CBER,,,,,22-Apr-93,
,Sanofi Vaccines Canada Ltd.,103171,Tenivac,Tetanus and Diphtheria Toxoids Adsorbed,351(a),"5LF,2LF/.5ML",Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,3-Nov-03,, ,,0,Original,,1726,001,CBER,,,,,,
,Sanofi Vaccines Canada Ltd.,103171,Tenivac,Tetanus and Diphtheria Toxoids Adsorbed,351(a),"5LF,2LF/.5ML",Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,3-Nov-03,, ,,0,Original,,1726,002,CBER,,,,,,
,Grifols Therapeutics LLC,103174,"prolastin,prolastin-c,prolastin-c liquid",Alpha-1-Proteinase Inhibitor (Human),351(a),1000MG,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,2-Dec-87,, ,,0,Original,,1871,001,CBER,,,,,2-Dec-94,
,Grifols Therapeutics LLC,103174,"prolastin,prolastin-c,prolastin-c liquid",Alpha-1-Proteinase Inhibitor (Human),351(a),500MG,For Injection,Intravenous,Single-Dose Vial,Disc,Licensed,2-Dec-87,, ,,0,Original,,1871,002,CBER,,,,,2-Dec-94,
,Grifols Therapeutics LLC,103174,"prolastin,prolastin-c,prolastin-c liquid",Alpha-1-Proteinase Inhibitor (Human),351(a),1000MG/20ML,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,8-Sep-17,, ,,6160,Supplement,,1871,003,CBER,,,,,2-Dec-94,
,Grifols Therapeutics LLC,103174,"prolastin,prolastin-c,prolastin-c liquid",Alpha-1-Proteinase Inhibitor (Human),351(a),4000MG/80ML,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,5-Mar-20,, ,,6314,Supplement,,1871,004,CBER,,,,,2-Dec-94,
,Grifols Therapeutics LLC,103174,"prolastin,prolastin-c,prolastin-c liquid",Alpha-1-Proteinase Inhibitor (Human),351(a),500MG/10ML,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,5-Mar-20,, ,,6314,Supplement,,1871,005,CBER,,,,,2-Dec-94,
,Kamada Ltd.,103189,Cytogam,Cytomegalovirus Immune Globulin Intravenous (Human),351(a),2.5G/50ML,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,17-Apr-90,, ,,0,Original,,1826,001,CBER,,,,,4-Oct-05,
,Grifols Therapeutics LLC,103196,Thrombate Iii,Antithrombin III (Human),351(a),500IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,30-Dec-91,, ,,0,Original,,1871,001,CBER,,,,,30-Dec-98,
,Merck Sharp & Dohme LLC,103237,Pedvaxhib,Haemophilus b Conjugate Vaccine (Meningococcal Protein Conjugate),351(a),7.5UG/.5ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,20-Dec-89,, ,,0,Original,,0002,001,CBER,,,,,,
,GlaxoSmithKline Biologicals,103239,Engerix-B,Hepatitis B Vaccine (Recombinant),351(a),20UG/ML,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,28-Aug-89,, ,,0,Original,,1617,001,CBER,,,,,,
,GlaxoSmithKline Biologicals,103239,Engerix-B,Hepatitis B Vaccine (Recombinant),351(a),20UG/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,28-Aug-89,, ,,0,Original,,1617,002,CBER,,,,,,
,GlaxoSmithKline Biologicals,103239,Engerix-B,Hepatitis B Vaccine (Recombinant),351(a),10UG/.5ML,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,28-Aug-89,, ,,0,Original,,1617,003,CBER,,,,,,
,GlaxoSmithKline Biologicals,103239,Engerix-B,Hepatitis B Vaccine (Recombinant),351(a),10UG/.5ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,28-Aug-89,, ,,0,Original,,1617,004,CBER,,,,,,
,Grifols Biologicals LLC,103249,"Alphanine, Alphanine Hp, Alphanine Sd",Coagulation Factor IX (Human),351(a),500IU,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,31-Dec-90,, ,,0,Original,,1694,001,CBER,,,,,31-Dec-97,
,Grifols Biologicals LLC,103249,"Alphanine, Alphanine Hp, Alphanine Sd",Coagulation Factor IX (Human),351(a),1000IU,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,31-Dec-90,, ,,0,Original,,1694,002,CBER,,,,,31-Dec-97,
,Grifols Biologicals LLC,103249,"Alphanine, Alphanine Hp, Alphanine Sd",Coagulation Factor IX (Human),351(a),250IU,Injection,Intravenous,Single-Dose Vial,Disc,Licensed,31-Dec-90,, ,,0,Original,,1694,003,CBER,,,,,31-Dec-97,
,Grifols Biologicals LLC,103249,"Alphanine, Alphanine Hp, Alphanine Sd",Coagulation Factor IX (Human),351(a),1500IU,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,31-Dec-90,, ,,0,Original,,1694,004,CBER,,,,,31-Dec-97,
,"Nielsen Bioscience, Inc",103257,Candin,Candida albicans Skin Test Antigen for Cellular Hypersensitivity,351(a),1U/.1ML,Injection,Intradermal,Multi-Dose Vial,Rx,Licensed,27-Nov-95,, ,,0,Original,,1903,001,CBER,,,,,,
,"Nielsen Bioscience, Inc",103317,N/A,Positive Skin Test Control-Histamine,351(a),1.8MG/ML,Injection,Percutaneous,Vial,Disc,Licensed,14-Feb-92,, ,,0,Original,,1903,001,CBER,,,,,,
,"Allergy Laboratories, Inc.",103324,N/A,"Animal Allergens, Standardized Cat Hair",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,11-Jul-30,, ,,0,Original,,0103,001,CBER,,,,,,
,"Allergy Laboratories, Inc.",103324,N/A,"Animal Allergens, Standardized Cat Hair",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,11-Jul-30,, ,,0,Original,,0103,002,CBER,,,,,,
,Bayer HealthCare LLC,103332,"Helixate Fs, Kogenate, Kogenate Fs",Antihemophilic Factor (Recombinant),351(a),250IU,For Injection,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,20-Aug-02,, ,,5000,Supplement,,0008,001,CBER,,,,,25-Feb-00,
,Bayer HealthCare LLC,103332,"Helixate Fs, Kogenate, Kogenate Fs",Antihemophilic Factor (Recombinant),351(a),500IU,For Injection,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,20-Aug-02,, ,,5000,Supplement,,0008,002,CBER,,,,,25-Feb-00,
,Bayer HealthCare LLC,103332,"Helixate Fs, Kogenate, Kogenate Fs",Antihemophilic Factor (Recombinant),351(a),1000IU,For Injection,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,20-Aug-02,, ,,5000,Supplement,,0008,003,CBER,,,,,25-Feb-00,
,Bayer HealthCare LLC,103332,"Helixate Fs, Kogenate, Kogenate Fs",Antihemophilic Factor (Recombinant),351(a),2000IU,For Injection,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,7-Jun-07,, ,,5672,Supplement,,0008,004,CBER,,,,,25-Feb-00,
,Bayer HealthCare LLC,103332,"Helixate Fs, Kogenate, Kogenate Fs",Antihemophilic Factor (Recombinant),351(a),3000IU,For Injection,Intravenous,Single-Dose Vial,Disc,Voluntarily Revoked,31-Jul-09,, ,,5987,Supplement,,0008,005,CBER,,,,,25-Feb-00,
,Bavarian Nordic A/S,103334,Rabavert,Rabies Vaccine,351(a),2.5IU,For Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,20-Oct-97,, ,,0,Original,,2096,001,CBER,,,,,,
,"Instituto Grifols, S.A.",103352,Human Albumin Grifols,Albumin (Human),351(a),12.5G/50ML,Injection,Intravenous,Single-Dose Vial,Disc,Licensed,17-Feb-95,, ,,5024,Supplement,,1181,001,CBER,,,,,,
,"Instituto Grifols, S.A.",103352,Human Albumin Grifols,Albumin (Human),351(a),20G/100ML,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,11-Jun-03,, ,,0,Original,,1181,002,CBER,,,,,,
,"Instituto Grifols, S.A.",103352,Human Albumin Grifols,Albumin (Human),351(a),10G/50ML,Injection,Intravenous,Single-Dose Vial,Disc,Licensed,17-Feb-95,, ,,5024,Supplement,,1181,003,CBER,,,,,,
,"Instituto Grifols, S.A.",103352,Human Albumin Grifols,Albumin (Human),351(a),25G/100ML,Injection,Intravenous,Single-Dose Vial,Disc,Licensed,11-Jun-03,, ,,0,Original,,1181,004,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103375,"Bioclate (Armour), Recombinate",Antihemophilic Factor (Recombinant),351(a),1000IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,10-Dec-92,, ,,0,Original,,1898,001,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103375,"Bioclate (Armour), Recombinate",Antihemophilic Factor (Recombinant),351(a),500IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,10-Dec-92,, ,,0,Original,,1898,002,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103375,"Bioclate (Armour), Recombinate",Antihemophilic Factor (Recombinant),351(a),250IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,10-Dec-92,, ,,0,Original,,1898,003,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103375,"Bioclate (Armour), Recombinate",Antihemophilic Factor (Recombinant),351(a),1500IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,10-Mar-10,, ,,5313,Supplement,,1898,004,CBER,,,,,,
,"Takeda Pharmaceuticals U.S.A., Inc.",103375,"Bioclate (Armour), Recombinate",Antihemophilic Factor (Recombinant),351(a),2000IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,10-Mar-10,, ,,5313,Supplement,,1898,005,CBER,,,,,,
,"Greer Laboratories, Inc.",103397,N/A,"Animal Allergens, Standardized Cat Hair",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Rx,Licensed,15-Sep-58,, ,,0,Original,,0308,001,CBER,,,,,,
,"Greer Laboratories, Inc.",103397,N/A,"Animal Allergens, Standardized Cat Hair",351(a),"10,000BAU/ML",Injection,Intradermal,Multi-Dose Vial,Rx,Licensed,15-Sep-58,, ,,0,Original,,0308,002,CBER,,,,,,
,"Greer Laboratories, Inc.",103397,N/A,"Animal Allergens, Standardized Cat Hair",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,15-Sep-58,, ,,0,Original,,0308,003,CBER,,,,,,
,"Greer Laboratories, Inc.",103397,N/A,"Animal Allergens, Standardized Cat Hair",351(a),"10,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,15-Sep-58,, ,,0,Original,,0308,004,CBER,,,,,,
,"Greer Laboratories, Inc.",103397,N/A,"Animal Allergens, Standardized Cat Hair",351(a),"5,000BAU/ML",Injection,Intradermal,Multi-Dose Vial,Rx,Licensed,15-Sep-58,, ,,0,Original,,0308,005,CBER,,,,,,
,"Greer Laboratories, Inc.",103397,N/A,"Animal Allergens, Standardized Cat Hair",351(a),"5,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,15-Sep-58,, ,,0,Original,,0308,006,CBER,,,,,,
,"Greer Laboratories, Inc.",103397,N/A,"Animal Allergens, Standardized Cat Hair",351(a),"5,000BAU/ML",Injection,Percutaneous,Multi-Dose Vial,Rx,Licensed,15-Sep-58,, ,,0,Original,,0308,007,CBER,,,,,,
,"Allermed Laboratories, Inc.",103473,N/A,"Animal Allergens, Standardized Cat Hair",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Rx,Licensed,12-Mar-74,, ,,0,Original,,0467,001,CBER,,,,,,
,"Allermed Laboratories, Inc.",103473,N/A,"Animal Allergens, Standardized Cat Hair",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,12-Mar-74,, ,,0,Original,,0467,002,CBER,,,,,,
,GlaxoSmithKline Biologicals,103475,Havrix,Hepatitis A Vaccine,351(a),720ELISA U/.5ML,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,22-Feb-95,, ,,0,Original,,1617,001,CBER,,,,,,
,GlaxoSmithKline Biologicals,103475,Havrix,Hepatitis A Vaccine,351(a),720ELISA U/.5ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,22-Feb-95,, ,,0,Original,,1617,002,CBER,,,,,,
,GlaxoSmithKline Biologicals,103475,Havrix,Hepatitis A Vaccine,351(a),1440ELISA U/ML,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,22-Feb-95,, ,,0,Original,,1617,003,CBER,,,,,,
,GlaxoSmithKline Biologicals,103475,Havrix,Hepatitis A Vaccine,351(a),1440ELISA U/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,22-Feb-95,, ,,0,Original,,1617,004,CBER,,,,,,
,Merck Sharp & Dohme LLC,103552,Varivax,Varicella Virus Vaccine Live,351(a),NLT  1350PFU/.5ML,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed,17-Mar-95,, ,,0,Original,,0002,001,CBER,,,,,,
,Merck Sharp & Dohme LLC,103552,Varivax,Varicella Virus Vaccine Live,351(a),NLT  1350PFU/.5ML,For Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,27-Feb-23,, ,,6277,Supplement,,0002,002,CBER,,,,,,
