Purple Book Monthly Historical Data Changes Report - June 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newly Approved Products (N)  / Products Added in Current Release (R) / Updated Products (U),,,,,,,,,,,,,,,,,,,,,,,,,,,
N/R/U,Applicant,BLA Number,Proprietary Name,Proper Name,License Type,Strength,Dosage Form,Route of Administration,Product Presentation,Marketing Status,Licensure,Approval Date,Inter. Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,Inter. Supplement Number,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date,Patent List Provided
N,AbbVie Inc.,761460,Decnupaz,pivekimab sunirine-pvzy,351(a),2MG,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,27-May-26,,N/A,N/A,,Original,,1889,001,CDER,,,,,,
N,"Gilead Sciences, Inc.",761468,Hepcludex,bulevirtide-gmod,351(a),8.5MG,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed,22-May-26,,N/A,N/A,,Original,,2258,001,CDER,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/R/U,Applicant,BLA Number,Proprietary Name,Proper Name,License Type,Strength,Dosage Form,Route of Administration,Product Presentation,Marketing Status,Licensure,Approval Date,Inter. Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,Inter. Supplement Number,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date,Patent List Provided
,Merck Sharp & Dohme LLC,101062,,Antivenin (Latrodectus mactans),351(a),NLT6000U,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,13-Feb-36,, ,,0,Original,,0002,001,CBER,,,,,,
,Merck Sharp & Dohme LLC,101062,,Antivenin (Latrodectus mactans),351(a),NLT6000U,For Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,13-Feb-36,, ,,0,Original,,0002,002,CBER,,,,,,
,Merck Sharp & Dohme LLC,101066,"Recombivax, Recombivax Hb",Hepatitis B Vaccine (Recombinant),351(a),5UG/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Jul-86,, ,,0,Original,,0002,001,CBER,,,,,,
,Merck Sharp & Dohme LLC,101066,"Recombivax, Recombivax Hb",Hepatitis B Vaccine (Recombinant),351(a),40UG/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Jul-86,, ,,0,Original,,0002,002,CBER,,,,,,
,Merck Sharp & Dohme LLC,101066,"Recombivax, Recombivax Hb",Hepatitis B Vaccine (Recombinant),351(a),10UG/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Jul-86,, ,,0,Original,,0002,003,CBER,,,,,,
,Merck Sharp & Dohme LLC,101068,ATTENUVAX,Measles Virus Vaccine Live,351(a),NLT1000U/.5ML,For Injection,Subcutaneous,Vial,Disc,Voluntarily Revoked,21-Mar-63,, ,,0,Original,,0002,001,CBER,,,,,,
,Merck Sharp & Dohme LLC,101069,M-M-R Ii,"Measles, Mumps and Rubella Virus Vaccine Live",351(a),0.5ML,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed,22-Apr-71,, ,,0,Original,,0002,001,CBER,,,,,,
,Merck Sharp & Dohme LLC,101069,M-M-R Ii,"Measles, Mumps and Rubella Virus Vaccine Live",351(a),0.5ML,For Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,27-Feb-23,, ,,5846,Supplement,,0002,002,CBER,,,,,,
,Merck Sharp & Dohme LLC,101072,MumpsVax,Mumps Virus Vaccine Live,351(a),0.5ML,For Injection,Subcutaneous,Vial,Disc,Voluntarily Revoked,28-Dec-67,, ,,0,Original,,0002,001,CBER,,,,,,
,Merck Sharp & Dohme LLC,101075,MERUVAX II,Rubella Virus Vaccine Live,351(a),NLT1000U/.5ML,For Injection,Subcutaneous,Vial,Disc,Voluntarily Revoked,9-Jun-69,, ,,0,Original,,0002,001,CBER,,,,,,
U,Merck Sharp & Dohme LLC,101084,N/A,Normal Horse Serum,351(a),1ML,Injection,Intradermal,Single-Dose Vial,Rx,Licensed,2-Jan-59,, ,,0,Original,,0002,001,CBER,,,,,,
,Merck Sharp & Dohme LLC,101094,Pneumovax 23,"Pneumococcal Vaccine, Polyvalent",351(a),25UG/.5ML,Injection,Intramuscular,Vial,Rx,Licensed,21-Nov-77,, ,,0,Original,,0002,001,CBER,,,,,,
,Merck Sharp & Dohme LLC,101094,Pneumovax 23,"Pneumococcal Vaccine, Polyvalent",351(a),25UG/.5ML,Injection,Subcutaneous,Vial,Rx,Licensed,21-Nov-77,, ,,0,Original,,0002,002,CBER,,,,,,
,Wyeth Pharmaceuticals LLC,101098,N/A,Antivenin (Crotalidae) Polyvalent,351(a),10ML,For Injection,Intravenous,Vial,Disc,Voluntarily Revoked,8-Feb-54,, ,,0,Original,,0003,001,CBER,,,,,,
,Wyeth Pharmaceuticals LLC,101099,,Antivenin (Micrurus fulvius),351(a),10ML,For Injection,Intravenous,Vial,Rx,Licensed,28-Aug-67,, ,,0,Original,,0003,001,CBER,,,,,,
,Grifols Therapeutics LLC,101130,"Koate, Koate-Dvi",Antihemophilic Factor (Human),351(a),"1,000IU",For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,24-Jan-74,, ,,0,Original,,1871,001,CBER,,,,,,
,Grifols Therapeutics LLC,101130,"Koate, Koate-Dvi",Antihemophilic Factor (Human),351(a),250IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,24-Jan-74,, ,,0,Original,,1871,002,CBER,,,,,,
,Grifols Therapeutics LLC,101130,"Koate, Koate-Dvi",Antihemophilic Factor (Human),351(a),500IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,24-Jan-74,, ,,0,Original,,1871,003,CBER,,,,,,
,Grifols Therapeutics LLC,101134,"Baygam, Gamastan S/D",Immune Globulin (Human),351(a),16.50%,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,11-Jan-44,, ,,0,Original,,1871,001,CBER,,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),2.5G/50ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42,, ,,0,Original,,1871,001,CBER,,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),25G/100ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42,, ,,0,Original,,1871,002,CBER,,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),20G/100ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42,, ,,0,Original,,1871,003,CBER,,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),10G/50ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42,, ,,0,Original,,1871,004,CBER,,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),12.5G/50ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42,, ,,0,Original,,1871,005,CBER,,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),5G/20ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42,, ,,0,Original,,1871,006,CBER,,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),25G/500ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42,, ,,0,Original,,1871,007,CBER,,,,,,
,Grifols Therapeutics LLC,101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),351(a),12.5G/250ML,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,21-Oct-42,, ,,0,Original,,1871,008,CBER,,,,,,
